regime,rescue_alpha,window_size,cooling_tokens,speedup_mean,speedup_std,ttft_s_mean,ttft_s_std,tpot_s_mean,tpot_s_std,p99_latency_s_mean,p99_latency_s_std,accepted_block_mean_mean,accepted_block_mean_std,rouge_l_mean,rouge_l_std,bleu_mean,bleu_std,bertscore_mean,bertscore_std
det,0.6,5,50,2.348335702142878,0.025587760057267973,0.04950349943083655,0.0004093256020720988,0.0029467788760169367,1.5885350650114096e-05,0.40001487048883977,0.0016099419372776562,5.11297661086514,0.10302492906965321,0.9076836299592139,0.013202471558986408,0.7414780056461119,0.04242027587882742,0.9076836299592139,0.013202471558986408
det,0.6,10,10,2.3233844283350207,0.022661629330892857,0.04960492107292145,0.0002483276963893219,0.0029407885911790803,1.25656133144281e-05,0.4004913399610632,0.0019591331504512587,5.197187262699201,0.06280192517860746,0.9056625777612985,0.010352087175339432,0.731384922838235,0.037048621561207994,0.9056625777612985,0.010352087175339432
det,0.6,10,20,2.3134927633585134,0.034777977715791816,0.049496559737329734,0.00044394054923693684,0.0029398367878588393,2.3181981918056532e-05,0.4006854764672295,0.0046781605586308644,5.19129943260141,0.06008501278075509,0.9069967503575402,0.008506100513780273,0.7354308000790355,0.02962435078400129,0.9069967503575402,0.008506100513780273
det,0.6,10,50,2.338894015792921,0.028302540323189122,0.04954045283291977,0.0005733151663470537,0.002958480764896642,1.0378169792281939e-05,0.40047145770065573,0.006106050927530864,5.094811622962641,0.09552828417866602,0.9065927697441601,0.01328738561338359,0.74321886407853,0.036289540731411815,0.9065927697441601,0.01328738561338359
det,0.6,20,10,2.31169051973841,0.017254562228267704,0.04949267194416531,0.00040596634616582805,0.0029455868026598614,2.7426725878760814e-05,0.3997516328489449,0.004341043033848036,5.16061483343412,0.12364995319998491,0.9172174294189311,0.010983720121043705,0.7625739700231886,0.03792455796350661,0.9172174294189311,0.010983720121043705
det,0.6,20,20,2.323299321917756,0.018846398986045346,0.049435578355935185,0.0002951533273097032,0.0029432459120404724,2.0348847039963325e-05,0.4025778131949348,0.0033934083769664113,5.135864578577498,0.11077529313755897,0.9070022379363314,0.012565039866290605,0.7342892076138618,0.04297241331228188,0.9070022379363314,0.012565039866290605
det,0.6,20,50,2.331302912659227,0.03648207924820987,0.0495419241991487,0.0005447267247885139,0.0029437837774792994,9.115558600328697e-06,0.4017983757466186,0.0051540628170811805,5.0971580012670685,0.08875787736803635,0.9107459955506118,0.007511920663008779,0.7542059123734648,0.01747885178673852,0.9107459955506118,0.007511920663008779
det,0.8,5,10,2.3560995600178747,0.03093532599142592,0.04933079593064412,0.0005076264917315284,0.0029036388967758854,8.752504983610026e-06,0.39449702038130263,0.004547585688520659,3.0836421179477917,0.020804141792978046,0.9082113538852694,0.007401187942540104,0.7367255018333078,0.015381899824692468,0.9082113538852694,0.007401187942540104
det,0.8,5,20,2.359955288148705,0.035853954375452635,0.049303363667502556,0.0004795591356510106,0.0029029579712214,8.807779856637701e-06,0.39449702038130263,0.004547585688520659,3.0827524333029346,0.01934076478782508,0.9079532893691404,0.007783681462773369,0.7364648500564801,0.015578816668559306,0.9079532893691404,0.007783681462773369
det,0.8,5,50,2.359955288148705,0.035853954375452635,0.049303363667502556,0.0004795591356510106,0.0029029579712214,8.807779856637701e-06,0.39449702038130263,0.004547585688520659,3.0827524333029346,0.01934076478782508,0.9079532893691404,0.007783681462773369,0.7364648500564801,0.015578816668559306,0.9079532893691404,0.007783681462773369
det,0.8,10,10,2.357783748742438,0.038763597803568896,0.04929933128263262,0.0004876822025642803,0.0029032275006331647,8.771669853148713e-06,0.39427826921487286,0.00493980299993326,3.0856312211817225,0.023104434594583164,0.9080737194766672,0.007914440280445512,0.7366565250772787,0.015449484775380702,0.9080737194766672,0.007914440280445512
det,0.8,10,20,2.357783748742438,0.038763597803568896,0.04929933128263262,0.0004876822025642803,0.0029032275006331647,8.771669853148713e-06,0.39427826921487286,0.00493980299993326,3.0856312211817225,0.023104434594583164,0.9080737194766672,0.007914440280445512,0.7366565250772787,0.015449484775380702,0.9080737194766672,0.007914440280445512
det,0.8,10,50,2.357783748742438,0.038763597803568896,0.04929933128263262,0.0004876822025642803,0.0029032275006331647,8.771669853148713e-06,0.39427826921487286,0.00493980299993326,3.0856312211817225,0.023104434594583164,0.9080737194766672,0.007914440280445512,0.7366565250772787,0.015449484775380702,0.9080737194766672,0.007914440280445512
det,0.8,20,10,2.357783748742438,0.038763597803568896,0.04929933128263262,0.0004876822025642803,0.0029032275006331647,8.771669853148713e-06,0.39427826921487286,0.00493980299993326,3.0856312211817225,0.023104434594583164,0.9080737194766672,0.007914440280445512,0.7366565250772787,0.015449484775380702,0.9080737194766672,0.007914440280445512
det,0.8,20,20,2.357783748742438,0.038763597803568896,0.04929933128263262,0.0004876822025642803,0.0029032275006331647,8.771669853148713e-06,0.39427826921487286,0.00493980299993326,3.0856312211817225,0.023104434594583164,0.9080737194766672,0.007914440280445512,0.7366565250772787,0.015449484775380702,0.9080737194766672,0.007914440280445512
det,0.8,20,50,2.357783748742438,0.038763597803568896,0.04929933128263262,0.0004876822025642803,0.0029032275006331647,8.771669853148713e-06,0.39427826921487286,0.00493980299993326,3.0856312211817225,0.023104434594583164,0.9080737194766672,0.007914440280445512,0.7366565250772787,0.015449484775380702,0.9080737194766672,0.007914440280445512
stoch,0.2,5,10,1.776342571758785,0.012715537834363648,0.04940293271347228,0.00036646726832281876,0.004110503055946209,2.896384092010256e-05,0.5433579939114888,0.009565234982450798,6.060084090284862,0.03498600815787419,0.8698796308067165,0.0170705383140252,0.6532852235168173,0.04809326367857751,0.8698796308067165,0.0170705383140252
stoch,0.2,5,20,1.776342571758785,0.012715537834363648,0.04940293271347228,0.00036646726832281876,0.004110503055946209,2.896384092010256e-05,0.5433579939114888,0.009565234982450798,6.060084090284862,0.03498600815787419,0.8698796308067165,0.0170705383140252,0.6532852235168173,0.04809326367857751,0.8698796308067165,0.0170705383140252
stoch,0.2,5,50,1.776342571758785,0.012715537834363648,0.04940293271347228,0.00036646726832281876,0.004110503055946209,2.896384092010256e-05,0.5433579939114888,0.009565234982450798,6.060084090284862,0.03498600815787419,0.8698796308067165,0.0170705383140252,0.6532852235168173,0.04809326367857751,0.8698796308067165,0.0170705383140252
stoch,0.2,10,10,1.7622090352560806,0.019253750456922892,0.049434844100422724,0.00034889060406366625,0.004125900574247696,1.807021213987194e-05,0.5430375203653025,0.005824108173560459,6.107601283763474,0.022218219120662023,0.8785970416865301,0.00035950960926731465,0.6713208304981038,0.010508761695180339,0.8785970416865301,0.00035950960926731465
stoch,0.2,10,20,1.7622090352560806,0.019253750456922892,0.049434844100422724,0.00034889060406366625,0.004125900574247696,1.807021213987194e-05,0.5430375203653025,0.005824108173560459,6.107601283763474,0.022218219120662023,0.8785970416865301,0.00035950960926731465,0.6713208304981038,0.010508761695180339,0.8785970416865301,0.00035950960926731465
stoch,0.2,10,50,1.7622090352560806,0.019253750456922892,0.049434844100422724,0.00034889060406366625,0.004125900574247696,1.807021213987194e-05,0.5430375203653025,0.005824108173560459,6.107601283763474,0.022218219120662023,0.8785970416865301,0.00035950960926731465,0.6713208304981038,0.010508761695180339,0.8785970416865301,0.00035950960926731465
stoch,0.2,20,10,1.7602092513750425,0.011968418070400104,0.04935893087490524,0.00021100710533856503,0.004144896790540514,1.997475959586757e-05,0.5514355020230233,0.0043334560419947665,6.142431228768838,0.040961351875481625,0.8739045182477885,0.007763790975283681,0.6598910050144535,0.01792953634607582,0.8739045182477885,0.007763790975283681
