arrival_rate_rps,trial,policy,n_requests,mean_latency_s,p50_latency_s,p90_latency_s,mean_wait_s,p90_wait_s,mean_batch_size,mean_hetero_penalty,throughput_rps
0.35,4,lane_split_window,300,6.109372901694098,6.0438000000000045,10.853395190309062,2.7803151493665648,6.544342246387697,2.046666666666667,1.0365397285168885,36.08886903354401
0.35,4,length_similarity_window,300,6.323786127262957,6.273272381356804,10.67906476635973,3.132006018895437,7.501759096880136,1.5733333333333333,1.0091690460782001,38.81749017891968
0.35,4,full_rules_continuous,300,6.464728418969586,6.344724872619736,11.307910409187576,3.3372850708200845,7.872576682303844,1.5533333333333332,1.0086945377798866,37.49249627070444
0.35,5,fifo_mixed_window,300,4.899006207455018,5.035626838525587,8.859224031933211,1.6326115846506002,4.390628656844126,1.9666666666666666,1.048326688469033,90.48348749885412
0.35,5,lane_split_window,300,4.849623699782458,4.933114255896113,8.844478062022347,2.0032435225735243,5.328870653915897,1.8066666666666666,1.0323329704153643,72.96495069808257
0.35,5,length_similarity_window,300,5.142624707841049,5.185858513492747,9.78877827148475,2.449868582201729,6.481642150794303,1.42,1.006622956261515,47.00158976261584
0.35,5,full_rules_continuous,300,5.20800637199243,5.1865999999999985,9.670293944716049,2.548232081819471,6.682040335014398,1.4066666666666667,1.0059386966266255,42.13272845387173
0.35,6,fifo_mixed_window,300,5.097011194115129,5.136015107489882,9.078676407737085,1.6380376416346165,4.4952633318362425,2.12,1.0485652286781373,25.939708863178037
0.35,6,lane_split_window,300,5.355007479837254,5.111565629535548,10.141246574985924,2.4279450896117707,6.601156792906741,1.8933333333333333,1.0348745617147905,22.575270968613616
0.35,6,length_similarity_window,300,5.200905707242578,5.257792441629739,9.395708046752318,2.3214068702278783,5.591842202959128,1.4933333333333334,1.006853677097803,29.217346136155726
0.35,6,full_rules_continuous,300,5.522239909392603,5.540603209303949,10.09792748876814,2.772687240369929,6.86796533403442,1.4266666666666667,1.0054773613468129,25.10789383167255
0.35,7,fifo_mixed_window,300,5.5035439451789605,5.42349999999999,9.30862372784563,1.6937033031384252,4.553590321551667,2.1733333333333333,1.060256034871717,23.43805949369161
0.35,7,lane_split_window,300,5.39623866147513,5.254305697884927,9.275966957738255,2.262072380873457,5.71768369430705,1.9133333333333333,1.0356231660210635,23.350107640186813
0.35,7,length_similarity_window,300,6.05743150095935,5.88676371875529,10.49120930954457,3.095975652636777,7.725848430123416,1.42,1.0061082045313088,20.112706710412944
0.35,7,full_rules_continuous,300,6.167390575797526,5.930573647289648,10.833041642957518,3.2474764588994103,7.835015016225606,1.3933333333333333,1.0056356645199878,22.233240209772767
0.35,8,fifo_mixed_window,300,5.729950403031251,5.2390000000000185,10.428060883377897,1.9600231711821694,5.290241834481649,2.466666666666667,1.0629902201060155,25.96702822212995
0.35,8,lane_split_window,300,5.69124712333041,4.935700000000011,10.570627171866587,2.7258112771963594,6.6054765247018805,2.34,1.0407838988437035,23.639728780995746
0.35,8,length_similarity_window,300,5.939215582725701,5.723874507734166,10.71098431089785,3.035626042351684,6.944169006552291,1.6866666666666668,1.010497417516093,22.92357274815767
0.35,8,full_rules_continuous,300,6.138142502546962,5.866989738384481,11.084609132329506,3.347682492248106,7.7407331483769,1.5866666666666667,1.0092996562755134,20.788689195161897
0.35,9,fifo_mixed_window,300,5.5430924966960395,6.003386610408356,9.37243240645763,1.7690822043972358,4.568731051533991,2.3666666666666667,1.056977253104187,34.82760320809411
0.35,9,lane_split_window,300,5.815406558458297,5.851097911019011,10.26425647261615,2.6980282240625484,6.17063474712263,2.0866666666666664,1.0382176248125816,30.144629175789742
0.35,9,length_similarity_window,300,6.209893922973328,6.304740685739446,10.605476255293382,3.2216502563497027,7.380206264533246,1.6333333333333333,1.0088217489919455,27.89846740220753
0.35,9,full_rules_continuous,300,6.32611391837094,6.383703966633796,11.252930632670445,3.4303303406254932,8.193852536778094,1.5933333333333333,1.0075623844644215,27.89846740220753
0.35,10,fifo_mixed_window,300,5.51032556246701,5.296321525324439,10.212913841669435,1.8337242459338825,4.949419105267734,2.2,1.0582678186309415,22.11312196410254
0.35,10,lane_split_window,300,5.669708873960134,5.173922780598673,10.37540041558287,2.6732732362844622,6.899226953812821,1.9666666666666666,1.034958030069496,18.771459116087104
0.35,10,length_similarity_window,300,5.667272980996076,5.3109090297626,10.538838931492775,2.82330753173574,6.993395286696959,1.48,1.0079621729865569,21.534551117237037
0.35,10,full_rules_continuous,300,5.9672804565101,5.594102880558992,11.081746906652274,3.175485773372544,7.517425387748504,1.5,1.0080492637663323,14.287510220719984
0.35,11,fifo_mixed_window,300,5.301962300017663,5.2389999999999874,9.591210983208509,1.73193193562574,4.673082092852817,2.1333333333333333,1.0541817750219273,22.95616091745158
0.35,11,lane_split_window,300,5.3490323926859,5.192250000000001,10.088383796221525,2.37250383392615,6.339223206223855,1.98,1.0333685086128614,22.12257871317702
0.35,11,length_similarity_window,300,5.599234030355924,5.324188753191834,10.254557596039527,2.71488937181681,6.815427861849616,1.58,1.0100435703288915,20.281253649814598
0.35,11,full_rules_continuous,300,5.713955621973231,5.440128409226745,10.59725280735005,2.9327780057324655,7.505513756444618,1.5333333333333334,1.0082728523348947,20.281253649814598
0.35,12,fifo_mixed_window,300,5.674825053237625,5.574072764100578,10.416550507408859,1.9215354009001318,4.899841309175777,2.38,1.0616315771425264,27.043763506773978
0.35,12,lane_split_window,300,5.483865446193878,5.231550519701386,10.109669224480617,2.475128246475055,5.926154812325838,2.06,1.034893997679272,21.55664316788758
0.35,12,length_similarity_window,300,5.655531838042293,5.42349999999999,10.04460504369663,2.7521624779038127,6.575784654484388,1.6133333333333333,1.0091638282111994,22.091129736610437
0.35,12,full_rules_continuous,300,5.9007509824164845,5.652300055741932,10.86070251823887,3.0801544816634343,7.408594155868989,1.6333333333333333,1.0080560737735167,22.091129736610437
0.35,13,fifo_mixed_window,300,4.622143177545284,4.5874254857815515,9.186257612439906,1.3812109939115147,4.194599849639326,2.02,1.0459363985476093,22.027508990104916
0.35,13,lane_split_window,300,4.70867550266643,4.321199999999988,9.1404202358162,1.9336136443777756,5.720664253958718,1.8466666666666667,1.0321582294615819,20.362496332069615
0.35,13,length_similarity_window,300,4.7002246317834135,4.383135402065989,8.85576358925263,2.0927522512648693,5.980482546367102,1.4,1.0070763687190645,17.715825829675747
0.35,13,full_rules_continuous,300,4.790163276397428,4.456753506066633,9.327801014330321,2.227802782329764,6.409913548929445,1.3666666666666667,1.0062256586686984,21.145106774197238
0.35,14,fifo_mixed_window,300,5.515069137731628,5.447316067654413,9.69992313660566,1.8703684359036803,4.832856512230423,2.26,1.0594760203636673,52.440269766116224
0.35,14,lane_split_window,300,5.6080860230168526,5.576216067654414,9.533083116369255,2.587666391536729,6.299725630681173,1.9933333333333334,1.0418661944489294,37.86210754304461
0.35,14,length_similarity_window,300,6.018993358967047,5.975947671782677,10.255583678720283,3.179690964227297,7.951239371129418,1.4733333333333334,1.0074335692275975,34.20577075275707
0.35,14,full_rules_continuous,300,6.028430384921252,6.061779669417746,10.557564470712927,3.2620486708697287,7.917983191575746,1.4333333333333333,1.0064527874516598,37.95280608206072
0.35,15,fifo_mixed_window,300,5.186046562997184,5.2390000000000025,9.560371320687523,1.6316243852359575,4.520996891269631,2.14,1.0510803636791486,34.36308900654292
0.35,15,lane_split_window,300,5.522992055891403,5.236789607095984,10.386321677213438,2.4521483943953775,6.190607913989655,1.8066666666666666,1.0359522516123478,26.082516981894674
0.35,15,length_similarity_window,300,5.894142726572967,5.758667124991916,10.505273108593999,2.9728707850394827,7.523264018246665,1.42,1.0068818619192859,22.391518828934295
0.35,15,full_rules_continuous,300,5.955950806010185,5.6672631595093605,10.880829868402095,3.098105904597574,7.5614273208667955,1.4,1.0064719868540735,22.391518828934295
0.35,16,fifo_mixed_window,300,5.329287570341455,5.573648684434389,10.157397043282229,1.6977218247478554,4.739650768477573,2.18,1.055984197481522,23.198718799752225
0.35,16,lane_split_window,300,5.495063548730507,5.6340506439703475,10.677576655760284,2.575664947328064,6.264733088672701,1.8266666666666667,1.0321497722981685,23.77960532168569
0.35,16,length_similarity_window,300,5.7873074213472675,5.763928982247165,10.993268819970497,2.977251829460975,8.078439359985682,1.4466666666666668,1.0073540564632626,17.82592785901964
0.35,16,full_rules_continuous,300,5.707126276910464,5.6684879172685925,11.13655998408782,2.940478467899286,7.235284939302278,1.4466666666666668,1.0067205579266238,20.123427835769363
0.35,17,fifo_mixed_window,300,4.953474853962315,5.079064913141963,9.049765581306294,1.4423256223678929,4.251119160518152,1.9666666666666666,1.0461552066505968,28.210158010901257
0.35,17,lane_split_window,300,5.009910760298591,4.951907163284432,9.371411630921278,2.010944421353034,5.370113535236615,1.8333333333333333,1.0324151875373153,22.419969937873923
0.35,17,length_similarity_window,300,5.398200439421562,5.287548486189067,9.598356076686754,2.4711931749175085,5.691918697614589,1.4266666666666667,1.0071480544297826,19.048346685741613
0.35,17,full_rules_continuous,300,5.469788467351339,5.278426081028254,9.925734867209405,2.6405132712086403,6.457548096844289,1.3533333333333333,1.0055652154130106,19.052193048768434
0.35,18,fifo_mixed_window,300,5.360603875726873,5.410507164872456,8.999757693437125,1.6580359577437689,4.430128565853261,2.0,1.0508079455919563,21.8311873947335
0.35,18,lane_split_window,300,5.473704517961117,5.2435154543860385,10.066838544249936,2.418578013823103,5.937775012185797,1.8066666666666666,1.0302734272343606,22.391616451909748
0.35,18,length_similarity_window,300,5.829946157910055,5.465518915575018,10.562518042318812,2.8625962170107853,6.671405351790034,1.5133333333333334,1.0071486125009468,16.57146289188744
0.35,18,full_rules_continuous,300,6.074598000640217,5.730208630117225,11.651061013528778,3.1847499256993363,8.099230939868434,1.4933333333333334,1.0062188140207644,16.57146289188744
0.35,19,fifo_mixed_window,300,4.821259702021801,5.040685476388219,8.708547622936303,1.5256280596247616,4.29862963243727,2.04,1.0466823248589572,24.752400347907585
