mode,k,max_new_tokens,prompt_bucket,sample_idx,prompt_tokens,baseline_latency_s,spec_latency_s,speedup,alpha,draft_s,verify_s,other_s,draft_share,verify_share,other_share
Deterministic,4,32,medium,2,40,0.7117,1.2187,0.5839829326331337,0.3,0.885379,0.313112,0.020208999999999866,0.7264946254205301,0.25692295068515636,0.016582423894313504
Deterministic,4,32,long,1,284,0.7098,1.1934,0.5947712418300654,0.3103448275862069,0.858085,0.312418,0.022897000000000056,0.7190254734372381,0.26178816825875645,0.019186358304005408
Deterministic,4,32,long,2,284,0.7117,0.8998,0.7909535452322738,0.5,0.651726,0.229374,0.018700000000000022,0.7243009557679484,0.254916648144032,0.020782396088019583
Deterministic,4,64,short,1,10,1.4179,2.3033,0.6155950158468284,0.30973451327433627,1.66436,0.599879,0.03906100000000001,0.7225980115486476,0.2604432770372943,0.016958711414058095
Deterministic,4,64,short,2,10,1.4193,2.3357,0.6076550926916984,0.3017241379310345,1.698971,0.597425,0.03930400000000012,0.7273926446033309,0.2557798518645374,0.016827503532131746
Deterministic,4,64,medium,1,40,1.417,2.5821,0.5487781263312808,0.24603174603174602,1.856887,0.682181,0.04303200000000007,0.7191382982843422,0.26419619689400103,0.016665504821656817
Deterministic,4,64,medium,2,40,1.4148,2.334,0.6061696658097686,0.30434782608695654,1.694323,0.600818,0.03885900000000009,0.7259310197086547,0.2574198800342759,0.016649100257069446
Deterministic,4,64,long,1,284,1.4312,1.8098,0.7908056138799867,0.4883720930232558,1.30503,0.470765,0.034005000000000174,0.721090728257266,0.26011990275168523,0.01878936899104883
Deterministic,4,64,long,2,284,1.4479,2.2399,0.646412786285102,0.3490566037735849,1.601033,0.594728,0.04413900000000004,0.714778784767177,0.2655154247957498,0.0197057904370731
Deterministic,8,12,short,1,10,0.2726,0.3299,0.8263110033343437,0.5294117647058824,0.25703,0.068573,0.004297000000000051,0.779114883297969,0.20785995756289782,0.013025159139133224
